degree,volt,fresnel
10,0.041,0.171
15,0.033,0.154
20,0.031,0.149
25,0.029,0.144
30,0.025,0.134
35,0.023,0.128
40,0.019,0.117
45,0.014,0.100
50,0.012,0.093
51,0.01,0.085
52,0.011,0.089
53,0.011,0.089
54,0.011,0.089
55,0.011,0.089
60,0.017,0.110
65,0.027,0.139
70,0.078,0.236
75,0.171,0.350
80,0.352,0.502
85,0.252,0.425
